0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
28735.723104929788,19552.524359460087,37465.91918037714,38785.91845045603,38507.63038853919,33062.2276905352,36335.452534094366,38528.04599012218,37115.433176737366,38106.056387166944,37367.782343389976,37976.67189185806,37366.22701622827,37605.74783283657,37464.56112860592,37509.08832194312,37400.97501989748,37515.73210244615,37473.519325525725,37546.03966244585,37397.26071220152,37508.77213832453,37456.057203709395,37434.56686191683,37463.40766609988,37411.583484452945,37480.9742027489,37452.48984366424,37436.43609923778,37506.530629829205,37487.63637922892,37374.97368175053,37409.61808085718,37448.09900917509,37410.03667479817,37411.35286471666,37407.522647131824,37444.00885732963,37476.3817367693,37317.16985558589,37353.383399929306,37374.24178207718,37392.95739846968,37377.11144342432,37371.3158261223,37356.10551251159,37357.401385135774,37432.16499222289,37387.838448243325,37391.04666967232,37356.48337284592,37295.774710619255,37405.26828380657,37322.46008139831,37311.10659192302,37343.889273233384,37373.87552482892,37372.98612275534,37331.41242424882,37318.88244362301,37326.160489907175,37312.834386384544,37316.99523992221,37336.99145473258,37224.627343953834,37274.97240694733,37313.25124046779,37320.9176221486,37288.98843742341,37307.3774370538,37291.05811533413,37270.83713396758,37252.41277433299,37209.79432646207,37203.0245303639,37214.581927844585,37231.14172938439,37305.39745574916,37183.61874394171,37259.014960577435,37215.636314887,37310.70363305691,37224.8648910158,37211.37822363929,37231.87945964241,37231.46647382558,37238.17391291652,37145.16871403505,37175.42281324652,37200.75885808504,37207.99297735977,37228.754057471175,37214.847953294724,37181.36490107131,37160.507045896185,37225.901408880636,37198.0838845635,37156.121235915954,37093.00861674174,37271.09274326327
57671.802134440186,44331.58527254019,35697.653270993695,40334.39400532301,37047.77801465815,36170.35604724855,34325.892580057545,37188.375367853405,36533.9711232862,37332.14820984282,36910.54706841406,37150.79874997142,36707.265186248405,37079.249285404745,36825.66311855984,36929.956918166696,36882.36113018877,36950.1738267061,36891.72908349223,36890.40656252346,36907.90035116254,36989.39766447482,36859.634327112406,36809.3507071759,36914.76222239975,36893.49389882698,36838.49628299796,36881.74504316508,36844.63635848946,36884.43707627367,36808.42437309227,36849.059913638535,36776.72010946146,36787.65773712743,36841.61542847786,36775.063150434515,36860.28062643991,36811.43617835826,36838.42057440209,36864.866922685054,36788.505276912096,36767.86234249353,36794.06100968539,36813.10427449608,36806.089370210066,36695.67202318273,36781.32045989781,36731.227640293066,36771.456309571215,36805.49850375392,36723.39654987976,36736.42694562898,36678.72367388189,36725.51683632403,36665.71265670116,36741.52959100805,36750.89803307873,36747.5025884304,36691.68772687795,36701.407052437586,36697.72156331116,36663.71079496516,36685.626368710764,36671.8667989648,36607.357279051466,36628.18330741363,36614.13633209536,36638.84858936812,36641.74263981833,36644.4146584604,36659.379243929965,36602.33931139145,36641.03739792949,36639.53638355394,36670.41857361269,36588.724400327585,36613.16175091239,36698.91385644702,36520.75069407752,36638.439603879146,36570.69286188783,36578.51545288577,36600.112325454946,36644.68050357858,36561.80835937799,36611.402900014975,36592.43443328928,36524.48452809337,36535.1691640698,36570.321276845134,36523.892153305154,36535.573825169005,36600.36765055108,36554.49188026915,36559.89975294241,36582.30615798192,36576.734104171715,36490.16383954716,36551.586887252124,36592.71003211056
63070.59237666424,41876.91728529187,47239.5550617802,38512.77182481365,39545.866027022195,37243.79046728968,39491.14715622138,38103.4522465247,37302.44991703603,38258.53698003352,37994.70741695743,37841.03217713151,37805.8374547903,38027.74150233055,38006.5436025296,37958.71146156059,38007.88738173537,38065.72072332629,37954.57640836317,37986.68675754545,37941.42666315938,37976.50541382909,37923.52019909014,37900.110913368655,37978.80382300883,37948.859245984815,37949.11930645019,37958.193551245735,37929.81372510693,37963.998728088125,37990.365876747564,37968.54306075405,37893.97681959043,37929.73569470862,37879.35618781611,37900.592580606986,37880.85156966025,37896.96647722261,37901.258998394114,37877.593519866554,37923.98966539706,37916.46686730328,37832.56269880618,37848.12535971442,37882.61380130182,37825.24964223844,37827.63975676457,37869.168349313055,37840.44357098352,37758.68316502082,37802.339402247,37793.5295901608,37810.179071084895,37872.057386274246,37861.679166904585,37876.531941753485,37840.22255597697,37779.42724191434,37769.34733178312,37810.71819141051,37819.03403286406,37756.077315387854,37829.84979153494,37779.20025350223,37809.62532708137,37768.53871163449,37763.93676040274,37760.76052113491,37785.605389456905,37801.965084056574,37733.25393576296,37763.94482013694,37794.70597832812,37816.85856882518,37739.72895280671,37817.44702122029,37775.81670462901,37735.43805860378,37675.987156122945,37736.45666294242,37746.39453175894,37761.68102234636,37727.70429467244,37686.02101674314,37715.799011362375,37714.799434193264,37667.074448361585,37698.60372074167,37682.56711953354,37682.48389939522,37738.012791426794,37656.762116015685,37688.76312648763,37668.17693963366,37673.74332575087,37634.52623838357,37627.48530477301,37638.69731426062,37609.35895340134,37698.17137465519
22532.906419295672,45846.78200150198,55743.09518316328,36646.19944288506,37095.17384514318,40783.103973297875,42982.49263727401,39247.17468352492,39143.48858476746,39763.014467928784,39684.00433611156,39583.94790918281,39490.694622975156,39623.08223324236,39637.60507227104,39673.09085101587,39639.72894094716,39660.86880863291,39691.34856069857,39618.424198029796,39580.860668134046,39595.36750077071,39590.790081586965,39571.95358823383,39656.64168138298,39656.50053677231,39534.913883256275,39615.42972616118,39615.98721896451,39648.574570285324,39549.56821243218,39585.7392838622,39597.289052619766,39628.831108555714,39527.48794079812,39566.532407087354,39595.315881949515,39539.2034170752,39529.2321659192,39525.39745812921,39533.39451890036,39516.707157082936,39530.011487984986,39465.05878433595,39467.79852111863,39464.92451521137,39512.11577170339,39480.14830863566,39430.22510151267,39500.078190290034,39479.85212716627,39459.50845568473,39450.20421530343,39508.099866062075,39480.45460350608,39429.60433738178,39451.66401796466,39493.614254036096,39491.56487407731,39454.254779068055,39464.12056806344,39413.917697100325,39415.67998895096,39418.916695919055,39410.782182197145,39367.6461087313,39404.728501510435,39418.96307826952,39414.87295381457,39417.283674776554,39389.171913446255,39373.77835000881,39412.24659047179,39344.31315752683,39353.323362702715,39401.333841018844,39381.93213472514,39328.883253470995,39369.85190379691,39354.38502505226,39362.787969042416,39305.39380016569,39335.0776875185,39410.814089134954,39379.77118631566,39288.18943618342,39320.98290286781,39279.65599817856,39322.67880357012,39283.708501194465,39270.9548619213,39272.72701164285,39260.25974248447,39265.122175352895,39277.975551941214,39272.76326811979,39263.73152036443,39294.85141345488,39269.088900367824,39225.92624342967
38122.36419077727,53046.08203175714,43085.83590346486,34474.367534943114,43069.90949768146,42904.44603959413,41380.13819067359,38604.1547334673,41011.3320286791,40122.85783797559,40586.00874440932,40259.09277041815,40221.04913535306,40130.84283896962,40057.15173234484,40233.38368621076,40233.763104050115,40209.007008341476,40255.04868668796,40143.741719902435,40149.03503854502,40173.59826528149,40152.81328901206,40149.414419126355,40095.24718657954,40154.46137543334,40095.95722450364,40150.873080721016,40106.39077525213,40028.94957965818,40073.16240234854,40080.63372927237,40039.72829724739,40110.75706134849,40069.87674298877,40085.17307072278,40091.05832686029,40075.98354417678,40064.6989767983,40118.48108488605,40032.342135915125,40075.82907829996,40011.83922966497,40070.090897823786,40016.96434044214,39990.74685727353,39996.04077160782,39968.69073401206,40098.41521602796,40061.68515215019,40009.260078006424,40090.36922340159,39992.018014806374,39954.014070937425,40032.26346857772,39967.35806226683,40021.73955959943,39894.14643682065,39938.70535065592,39983.87067353878,39938.9380569139,39937.703364117435,39959.51474635738,39940.597740673824,40087.384000261896,39982.5151404085,39944.74528887987,39986.167844161995,39934.077056505485,39926.84129555317,39945.90216131802,39910.170070289576,39896.900010774814,39871.608128514024,39932.20567206666,39858.39671028428,39903.29883882926,39930.2305334758,39923.73915956489,39841.583675122165,39873.41051551791,39893.09802193222,39858.81951562117,39857.32029391616,39882.47451130623,39893.10573248857,39837.63148782316,39889.605730560856,39868.15794388237,39843.930231024075,39867.04461047785,39841.49319824694,39879.16687330898,39830.853694616875,39841.086565493846,39791.06140330846,39810.368978671046,39843.99440950198,39817.569528748405,39715.24415534515
48796.54271758952,47531.343468776126,30167.45807370612,44094.43761843425,38091.82238080975,37489.792449762856,40028.497826453466,38699.97818159825,40710.165973378214,39428.65375370941,40099.56625973827,40031.076058493316,39696.10706628498,39670.49739050653,39781.759364856945,39835.52881559879,39844.60556209234,39791.58836641422,39729.58695080892,39775.1139027593,39804.174971668406,39837.30312159988,39787.53116455204,39810.36405612726,39778.04741374545,39802.32646639531,39718.81133248808,39755.3949722235,39739.395010364235,39746.08704596927,39701.385506567494,39757.85308522772,39716.43615701296,39683.678036473975,39680.26727390319,39699.20634089314,39781.077196430706,39651.694695703874,39698.550694225676,39730.411514517844,39690.76819213657,39730.397579728604,39690.19432538438,39695.55540016788,39670.721954584114,39697.52895212307,39673.17785285815,39674.24689648642,39649.585395329515,39615.23909021729,39616.17213249277,39699.831410045146,39627.671783223195,39673.22636555975,39586.69027900672,39617.676084132574,39615.9909015374,39621.03594391427,39575.93232319789,39595.471486549635,39595.825258567784,39559.54481203509,39601.98620238654,39590.968033120706,39592.326334740595,39558.083329092995,39557.128707840944,39519.83119575799,39542.59308043294,39558.03361840535,39522.94726941137,39575.58826770508,39533.596361316915,39540.9113036651,39588.83855315369,39533.060049882784,39576.53679904615,39563.24919985057,39521.05871738454,39531.56826471447,39517.96900842161,39533.84187485238,39510.50228064148,39445.94027726364,39437.25727308,39476.79167866382,39506.66457480354,39479.576785862395,39476.54246929569,39483.53068971644,39395.42231335458,39485.00069764047,39416.315271172905,39464.934341655025,39428.89076528803,39470.65057062899,39474.46289985848,39458.61556536606,39437.71333445282,39414.37147633861
43622.909154008674,57927.11665335135,35777.68799782456,39326.80038797686,35177.736298245996,38712.54969589409,40820.75693992413,37980.833768994,39106.15361746319,38404.579375286725,38768.52129055408,38588.6437962956,38789.512302067975,38709.721183473055,38819.384521940854,38650.70141441331,38698.84184845752,38839.63215826666,38644.65344243714,38667.34510058603,38663.53690085561,38591.793624438775,38656.81855788946,38657.112468083316,38644.51582747119,38622.218780387884,38674.72718714448,38603.595713796094,38639.821481365805,38642.0135981482,38663.17724649944,38630.87288677476,38700.90901435484,38641.16281354736,38554.39268908353,38610.00690042676,38574.7562640138,38620.074014178186,38647.04643638503,38514.356622958505,38571.59696690622,38600.30931938615,38578.65348403246,38580.9523425161,38585.67134406736,38587.279742315,38570.18375368458,38498.43781990146,38566.43238456974,38495.32572862361,38579.85232508243,38562.16779429128,38475.437997372646,38506.770163610454,38572.55763650766,38528.17225760999,38503.43755789684,38529.158575003385,38506.55746529256,38496.99491778696,38532.8073524935,38495.35305760311,38507.96778482737,38465.30593582199,38496.61761961027,38409.44886486036,38431.519732650755,38474.91066070293,38502.44081839366,38481.02981231065,38507.06696232613,38435.37582037924,38428.89033757842,38416.35766342867,38417.390616483,38403.340146849296,38495.25633964989,38375.15183876407,38399.31663564288,38458.01394909776,38414.23368593221,38452.52779213952,38395.50208945465,38374.79081025275,38393.5985378163,38402.066800408655,38364.10183588047,38319.597730874295,38369.919399611914,38367.980671532525,38385.75028598141,38361.991995168646,38336.174443751406,38339.50971397296,38346.73926823143,38301.57778493841,38304.90723786537,38317.08621956136,38285.454278875804,38276.30069532919
46213.34271047592,47891.140892588446,36587.47104512574,47677.11071504147,36476.25799291352,44855.421119163795,39978.32616426938,40883.930857506704,41091.18932160696,40190.21922545701,40621.52560861389,40480.24705664203,40748.59497027702,40519.889082934125,40531.756475239614,40503.327061727505,40499.61716877796,40497.809524202734,40535.0774989865,40463.321401768306,40429.08799209689,40525.11028306394,40457.04964887271,40487.61622789964,40464.67731324634,40427.10665393684,40425.72533362626,40394.748864030786,40432.72564545971,40432.41823608554,40421.53721559407,40457.13450248544,40385.75441898752,40409.37188633612,40460.16287484164,40428.078680172395,40453.986568490946,40393.69203600516,40395.969470750984,40372.8661583109,40432.70192751273,40380.81358268641,40365.46006927625,40393.895484839944,40394.93678576003,40398.45397807015,40394.260511605986,40317.51456139705,40369.03277942075,40334.21087800628,40349.5862314078,40393.11216165516,40345.11713719817,40332.63962550044,40295.64871148813,40309.91447924843,40346.64130150983,40295.90726539652,40335.277533105866,40290.076761915785,40313.857257657975,40293.74399775494,40314.80663734228,40278.272430620535,40252.562750821475,40253.22461997887,40255.88167918528,40235.771630969175,40268.21906362545,40267.39863715421,40286.766379005814,40240.33340018113,40281.73575291517,40225.919789246975,40254.8045969347,40236.77511086767,40158.72517962333,40231.63109949815,40287.02989990451,40239.99055448298,40236.151829088165,40131.34439498978,40225.97243419797,40209.276098327384,40172.00535294484,40229.450869262175,40200.24140207004,40193.82143773569,40215.07407667344,40176.35485645084,40174.37577718966,40176.76958744746,40181.96584819443,40147.82955495667,40134.73099029721,40190.24592404918,40138.93917032704,40187.56950281085,40158.83627799704,40210.34458736323
23503.799907119457,41156.85932817948,37142.01659301656,38269.82904455818,40171.804001472556,40377.651167481374,40109.18692618379,39780.93344291567,40819.2004804437,39861.636846180125,39546.71886655133,39481.79744112049,39630.465301628064,39427.106482375864,39558.48574085529,39447.248734363435,39334.46835181222,39175.51588469153,39337.03325489279,39344.76987023542,39324.68517478318,39290.23657290695,39369.187174366874,39366.292007874385,39297.01416099732,39322.859270728186,39356.529932099395,39349.568978984345,39342.62364324626,39303.164574276736,39285.18643130972,39272.08953645994,39259.47483360454,39305.58815581156,39311.268869718086,39303.33893799248,39325.79151822745,39298.07973258445,39252.6419055284,39382.11166771984,39279.54947575539,39247.873229946264,39240.1871857072,39274.6640028066,39251.871459631664,39236.89119542268,39265.14927734854,39182.5418027167,39247.08404892199,39230.15329107392,39256.82710342093,39214.44907296261,39206.787203165186,39194.674469331774,39167.935800689935,39203.81632264337,39184.47623285764,39210.18582342344,39181.22826571369,39223.42497826237,39178.9307851528,39178.00444727139,39163.25668678309,39155.385463920946,39010.27534030284,39130.923913770224,39172.73242938841,39180.276958107606,39136.334473268376,39117.549868194415,39140.49000679012,39107.54387593624,39177.84678963347,39118.058473036916,39145.52350893976,39106.774291275346,39202.871673481095,39070.77586222573,39127.291586002684,39069.62744668525,39103.48516320123,39095.703518635935,39077.17022616003,39114.500566322895,39046.937807892034,39065.11189774069,39084.44777456793,39019.34313421289,39059.506705169086,39064.57227066024,39053.70448780679,39025.94203720987,39053.33981362453,39021.24633037842,39061.246782373506,38983.140386870065,39053.005441455505,39071.63598064428,38955.77661068945,39056.267241114656
50836.86290205255,52964.29394834426,47555.96839876403,42593.34909291928,37313.470899830565,42069.18777082607,41103.79269755646,39317.668062930876,39945.16519771918,40258.51929516056,39048.04050150565,39372.64142500928,39369.38856924296,39251.15416201169,39320.019145040795,39175.77584344845,39212.04481665291,39143.98297342244,39222.405427512815,39200.59056179643,39229.86781665684,39230.94665106942,39194.26846426606,39198.09573030559,39140.030924013496,39252.78922080744,39147.65493759697,39194.73758884905,39181.098637119336,39156.62803650774,39142.12071739315,39152.05746389866,39134.00021473652,39157.41207031977,39167.782379602606,39140.1235735433,39206.08546736475,39142.88280327062,39101.54670403372,39094.95584606772,39164.14590880116,39143.734083450116,39100.96181189083,39113.36487429304,39116.05682160678,39108.443212663224,39135.318490154204,39073.56002463677,39025.686085518646,39170.14057261761,39076.10690238537,39101.65865711756,39099.4484485849,39049.81988749992,39120.07316294231,39034.97941751265,39043.917486811646,39058.50954286929,39108.49787339356,39047.94976465719,39043.77074110693,39045.38617074085,39039.43222152946,39056.86912787535,39055.14037775642,39036.5455865906,39029.77078475597,38954.35315648296,39061.060711874845,38992.252910831565,39036.89935853918,39007.95191429219,38971.97482495281,39017.442803033526,39056.03253175819,38970.33193741883,39002.37180914955,38996.853662015965,38953.42796064566,38995.548794770395,38967.30543292078,38900.38020634595,38956.748051443574,38919.580359529806,38900.16280086386,38885.53874253109,38946.65586019993,38904.27134020093,38931.31253864498,38910.32325296954,38906.34709675237,38894.38388933625,38899.9543197422,38900.182659410566,38898.56846561366,38892.69513611364,38878.289388041936,38902.108127519605,38926.32979180845,38821.03223306336
